order,seasonal_order,aic,bic
"(0, 0, 0)","(0, 0, 0, 24)",14511.250857255265,14516.523255647835
"(0, 0, 0)","(0, 0, 1, 24)",13653.619672748304,13664.164469533443
"(0, 0, 0)","(0, 1, 0, 24)",12754.175545219274,12759.431136493527
"(0, 0, 0)","(0, 1, 1, 24)",12528.53577849875,12539.046961047257
"(0, 0, 0)","(1, 0, 0, 24)",12864.999885924637,12875.544682709777
"(0, 0, 0)","(1, 0, 1, 24)",12729.446447092332,12745.263642270042
"(0, 0, 0)","(1, 1, 0, 24)",12620.074008383079,12630.585190931586
"(0, 0, 0)","(1, 1, 1, 24)",12437.496168256657,12453.262942079418
"(0, 0, 1)","(0, 0, 0, 24)",12841.857283377543,12852.402080162683
"(0, 0, 1)","(0, 0, 1, 24)",12148.25781773976,12164.07501291747
"(0, 0, 1)","(0, 1, 0, 24)",11473.542442609485,11484.053625157992
"(0, 0, 1)","(0, 1, 1, 24)",11170.438413403206,11186.205187225967
"(0, 0, 1)","(1, 0, 0, 24)",11528.0944808957,11543.911676073409
"(0, 0, 1)","(1, 0, 1, 24)",11345.842458318923,11366.932051889204
"(0, 0, 1)","(1, 1, 0, 24)",11298.12018069586,11313.88695451862
"(0, 0, 1)","(1, 1, 1, 24)",11098.216905260608,11119.239270357622
"(0, 0, 2)","(0, 0, 0, 24)",11764.65196691445,11780.46916209216
"(0, 0, 2)","(0, 0, 1, 24)",11315.490440126836,11336.580033697117
"(0, 0, 2)","(0, 1, 0, 24)",10889.125253424518,10904.892027247279
"(0, 0, 2)","(0, 1, 1, 24)",10491.719177783629,10512.741542880643
"(0, 0, 2)","(1, 0, 0, 24)",10881.267955760222,10902.357549330503
"(0, 0, 2)","(1, 0, 1, 24)",10652.287904538094,10678.649896500945
"(0, 0, 2)","(1, 1, 0, 24)",10660.997710421725,10682.02007551874
"(0, 0, 2)","(1, 1, 1, 24)",10430.28930735487,10456.567263726138
"(0, 1, 0)","(0, 0, 0, 24)",9713.260746858828,9718.532450565715
"(0, 1, 0)","(0, 0, 1, 24)",9621.844634434532,9632.388041848308
"(0, 1, 0)","(0, 1, 0, 24)",10050.641972157267,10055.896856967345
"(0, 1, 0)","(0, 1, 1, 24)",9214.129070554634,9224.63884017479
"(0, 1, 0)","(1, 0, 0, 24)",9587.890461772316,9598.433869186092
"(0, 1, 0)","(1, 0, 1, 24)",9347.217392215882,9363.032503336544
"(0, 1, 0)","(1, 1, 0, 24)",9705.627004419173,9716.136774039329
"(0, 1, 0)","(1, 1, 1, 24)",9214.299330716209,9230.06398514644
"(0, 1, 1)","(0, 0, 0, 24)",9669.162015732496,9679.705423146272
"(0, 1, 1)","(0, 0, 1, 24)",9601.553270944334,9617.368382064997
"(0, 1, 1)","(0, 1, 0, 24)",10052.139733612734,10062.64950323289
"(0, 1, 1)","(0, 1, 1, 24)",9214.643222168019,9230.40787659825
"(0, 1, 1)","(1, 0, 0, 24)",9576.453205732763,9592.268316853426
"(0, 1, 1)","(1, 0, 1, 24)",9346.772528737978,9367.859343565528
"(0, 1, 1)","(1, 1, 0, 24)",9707.343945302404,9723.108599732635
"(0, 1, 1)","(1, 1, 1, 24)",9215.123662627208,9236.143201867517
"(0, 1, 2)","(0, 0, 0, 24)",9661.907793082308,9677.72290420297
"(0, 1, 2)","(0, 0, 1, 24)",9599.484501959152,9620.571316786702
"(0, 1, 2)","(0, 1, 0, 24)",10053.402024995565,10069.166679425796
"(0, 1, 2)","(0, 1, 1, 24)",9216.397875923818,9237.417415164127
"(0, 1, 2)","(1, 0, 0, 24)",9576.149907071816,9597.236721899366
"(0, 1, 2)","(1, 0, 1, 24)",9348.353840645716,9374.712359180152
"(0, 1, 2)","(1, 1, 0, 24)",9709.269697916014,9730.289237156323
"(0, 1, 2)","(1, 1, 1, 24)",9216.955771676518,9243.230195726905
"(0, 2, 0)","(0, 0, 0, 24)",10404.485001563173,10409.756010101453
"(0, 2, 0)","(0, 0, 1, 24)",10391.716732271101,10402.258749347664
"(0, 2, 0)","(0, 1, 0, 24)",11048.694129831234,11053.94830767769
"(0, 2, 0)","(0, 1, 1, 24)",10141.595728219267,10152.10408391218
"(0, 2, 0)","(1, 0, 0, 24)",10388.959431879286,10399.501448955849
"(0, 2, 0)","(1, 0, 1, 24)",10270.20972510871,10286.022750723554
"(0, 2, 0)","(1, 1, 0, 24)",10657.559220152656,10668.067575845569
"(0, 2, 0)","(1, 1, 1, 24)",10143.08641740004,10158.84895093941
"(0, 2, 1)","(0, 0, 0, 24)",9716.783267631376,9727.325284707938
"(0, 2, 1)","(0, 0, 1, 24)",9625.102134960003,9640.915160574847
"(0, 2, 1)","(0, 1, 0, 24)",10053.81080591018,10064.319161603093
"(0, 2, 1)","(0, 1, 1, 24)",9223.711353640796,9239.473887180166
"(0, 2, 1)","(1, 0, 0, 24)",9590.883463703607,9606.69648931845
"(0, 2, 1)","(1, 0, 1, 24)",9355.617786651172,9376.701820804295
"(0, 2, 1)","(1, 1, 0, 24)",9709.783818571073,9725.546352110443
"(0, 2, 1)","(1, 1, 1, 24)",9223.759465349052,9244.776176734878
"(0, 2, 2)","(0, 0, 0, 24)",9672.40364593844,9688.216671553284
"(0, 2, 2)","(0, 0, 1, 24)",9604.565817363928,9625.649851517052
"(0, 2, 2)","(0, 1, 0, 24)",10055.340352156718,10071.102885696087
"(0, 2, 2)","(0, 1, 1, 24)",9224.106987009392,9245.123698395219
"(0, 2, 2)","(1, 0, 0, 24)",9579.286667192755,9600.370701345879
"(0, 2, 2)","(1, 0, 1, 24)",9355.840798055837,9382.195840747241
"(0, 2, 2)","(1, 1, 0, 24)",9711.485497625148,9732.502209010974
"(0, 2, 2)","(1, 1, 1, 24)",9224.532855919017,9250.8037451513
"(1, 0, 0)","(0, 0, 0, 24)",9711.526545203134,9722.071341988274
"(1, 0, 0)","(0, 0, 1, 24)",9616.332397453212,9632.149592630922
"(1, 0, 0)","(0, 1, 0, 24)",10007.01143344819,10017.522615996697
"(1, 0, 0)","(0, 1, 1, 24)",9195.997040154565,9211.763813977326
"(1, 0, 0)","(1, 0, 0, 24)",9579.103639974503,9594.920835152212
"(1, 0, 0)","(1, 0, 1, 24)",9331.188365110125,9352.277958680406
"(1, 0, 0)","(1, 1, 0, 24)",9670.74478891274,9686.5115627355
"(1, 0, 0)","(1, 1, 1, 24)",9195.125531256714,9216.147896353728
"(1, 0, 1)","(0, 0, 0, 24)",9663.22229643176,9679.03949160947
"(1, 0, 1)","(0, 0, 1, 24)",9592.5190056364,9613.608599206682
"(1, 0, 1)","(0, 1, 0, 24)",10008.490502126731,10024.257275949492
"(1, 0, 1)","(0, 1, 1, 24)",9194.430109675686,9215.452474772701
"(1, 0, 1)","(1, 0, 0, 24)",9564.876382470555,9585.965976040836
"(1, 0, 1)","(1, 0, 1, 24)",9328.377064427805,9354.739056390656
"(1, 0, 1)","(1, 1, 0, 24)",9669.877790779981,9690.900155876996
"(1, 0, 1)","(1, 1, 1, 24)",9194.023253490179,9220.301209861447
"(1, 0, 2)","(0, 0, 0, 24)",9653.162098587094,9674.251692157375
"(1, 0, 2)","(0, 0, 1, 24)",9588.19141130463,9614.55340326748
"(1, 0, 2)","(0, 1, 0, 24)",10010.145914308083,10031.168279405098
"(1, 0, 2)","(0, 1, 1, 24)",9194.803337373183,9221.081293744452
"(1, 0, 2)","(1, 0, 0, 24)",9562.669061191113,9589.031053153964
"(1, 0, 2)","(1, 0, 1, 24)",9328.385984657081,9360.020375012502
"(1, 0, 2)","(1, 1, 0, 24)",9670.919895768848,9697.197852140116
"(1, 0, 2)","(1, 1, 1, 24)",9194.583550813299,9226.11709845882
"(1, 1, 0)","(0, 0, 0, 24)",9663.436038636897,9673.979446050673
"(1, 1, 0)","(0, 0, 1, 24)",9599.518663127252,9615.333774247914
"(1, 1, 0)","(0, 1, 0, 24)",10052.160769786227,10062.670539406383
"(1, 1, 0)","(0, 1, 1, 24)",9214.612947955604,9230.377602385835
"(1, 1, 0)","(1, 0, 0, 24)",9575.466739152,9591.281850272662
"(1, 1, 0)","(1, 0, 1, 24)",9346.704153786939,9367.790968614489
"(1, 1, 0)","(1, 1, 0, 24)",9707.347720024056,9723.112374454287
"(1, 1, 0)","(1, 1, 1, 24)",9215.100638788219,9236.120178028528
"(1, 1, 1)","(0, 0, 0, 24)",9663.607115087456,9679.422226208118
"(1, 1, 1)","(0, 0, 1, 24)",9600.35044308544,9621.437257912989
"(1, 1, 1)","(0, 1, 0, 24)",10004.989745181674,10020.754399611906
"(1, 1, 1)","(0, 1, 1, 24)",9216.530558360251,9237.55009760056
"(1, 1, 1)","(1, 0, 0, 24)",9576.694859503568,9597.781674331118
"(1, 1, 1)","(1, 0, 1, 24)",9348.570255586641,9374.928774121077
"(1, 1, 1)","(1, 1, 0, 24)",9693.904187062279,9714.923726302588
"(1, 1, 1)","(1, 1, 1, 24)",9217.04632891237,9243.320752962758
"(1, 1, 2)","(0, 0, 0, 24)",9630.85372670012,9651.940541527669
"(1, 1, 2)","(0, 0, 1, 24)",9562.184148629545,9588.542667163982
"(1, 1, 2)","(0, 1, 0, 24)",10006.500428724165,10027.519967964474
"(1, 1, 2)","(0, 1, 1, 24)",9193.580594678999,9219.855018729386
"(1, 1, 2)","(1, 0, 0, 24)",9536.489447170512,9562.847965704948
"(1, 1, 2)","(1, 0, 1, 24)",9323.034658522283,9354.664880763608
"(1, 1, 2)","(1, 1, 0, 24)",9668.535612604179,9694.810036654566
"(1, 1, 2)","(1, 1, 1, 24)",9193.640098708373,9225.169407568837
"(1, 2, 0)","(0, 0, 0, 24)",10107.888356082389,10118.430373158952
"(1, 2, 0)","(0, 0, 1, 24)",10074.083231995191,10089.896257610035
"(1, 2, 0)","(0, 1, 0, 24)",10647.637455250588,10658.1458109435
