valuetime,wind,solar,load,spot,flow
2020-10-31 23:00:00,2337.35009765625,0.0,1893.0,4.57,1300.0
2020-11-01 00:00:00,2179.510009765625,0.0,1837.0,4.28,1300.0
2020-11-01 01:00:00,2026.5899658203125,0.0,1841.0,3.51,1300.0
2020-11-01 02:00:00,1830.6199951171875,0.0,1804.0,3.54,1300.0
2020-11-01 03:00:00,1783.949951171875,0.0,1779.0,3.95,1300.0
2020-11-01 04:00:00,1605.010009765625,0.0,1783.0,4.38,1300.0
2020-11-01 05:00:00,1559.52001953125,0.0,1904.0,4.56,1300.0
2020-11-01 06:00:00,1496.81005859375,1.0,2075.0,4.82,1300.0
2020-11-01 07:00:00,1426.22998046875,13.0,2268.0,6.24,1300.0
2020-11-01 08:00:00,1606.77001953125,81.0,2345.0,7.03,1300.0
2020-11-01 09:00:00,1845.56005859375,162.0,2415.0,7.87,1300.0
2020-11-01 10:00:00,2385.64990234375,174.0,2435.0,7.66,1300.0
2020-11-01 11:00:00,2495.9599609375,131.0,2412.0,6.97,1300.0
2020-11-01 12:00:00,2518.199951171875,97.0,2425.0,6.56,1300.0
2020-11-01 13:00:00,2391.050048828125,64.0,2440.0,6.22,1300.0
2020-11-01 14:00:00,2482.330078125,30.0,2437.0,6.81,1300.0
2020-11-01 15:00:00,2701.429931640625,3.0,2595.0,7.85,1300.0
2020-11-01 16:00:00,2849.159912109375,0.0,2859.0,8.61,1300.0
2020-11-01 17:00:00,2689.659912109375,0.0,2779.0,8.05,1300.0
2020-11-01 18:00:00,2676.580078125,0.0,2552.0,6.9,1300.0
2020-11-01 19:00:00,2689.6201171875,0.0,2412.0,5.0,1300.0
2020-11-01 20:00:00,2496.9599609375,0.0,2301.0,3.84,1300.0
2020-11-01 21:00:00,2427.31005859375,0.0,2189.0,2.55,1300.0
2020-11-01 22:00:00,2475.820068359375,0.0,2075.0,1.44,1300.0
2020-11-01 23:00:00,2887.929931640625,0.0,2014.0,0.12,1300.0
2020-11-02 00:00:00,2785.760009765625,0.0,2017.0,-0.04,18.0
2020-11-02 01:00:00,3015.719970703125,0.0,2010.0,-0.93,-117.0
2020-11-02 02:00:00,2920.8701171875,0.0,2009.0,-10.48,-734.0
2020-11-02 03:00:00,3225.320068359375,0.0,2032.0,-1.39,-236.0
2020-11-02 04:00:00,2992.050048828125,0.0,2224.0,0.12,1300.0
2020-11-02 05:00:00,2906.81005859375,0.0,2587.0,2.46,1300.0
2020-11-02 06:00:00,2838.949951171875,0.0,2963.0,4.93,1300.0
