order,seasonal_order,mae,rmse,mape
"(0, 0, 0)","(1,1,1,24)",8.471240144,11.61255899,18.25593692
"(0, 0, 1)","(1,1,1,24)",9.342950322,12.24245113,20.78720745
"(0, 0, 2)","(1,1,1,24)",10.36446012,12.94854382,22.98409176
"(0, 1, 0)","(1,1,1,24)",13.2198529,15.58769315,27.89104165
"(0, 1, 1)","(1,1,1,24)",13.17833484,15.55380974,27.76899351
"(0, 1, 2)","(1,1,1,24)",13.39460581,15.73684548,28.33833077
"(0, 2, 0)","(1,1,1,24)",3.912009382,4.96388523,8.525618124
"(0, 2, 1)","(1,1,1,24)",13.5429682,15.95382557,28.56886908
"(0, 2, 2)","(1,1,1,24)",13.5053174,15.92420034,28.45310546
"(1, 0, 0)","(1,1,1,24)",13.66450063,16.09987575,28.8256524
"(1, 0, 1)","(1,1,1,24)",13.64569638,16.10372935,28.7197893
"(1, 0, 2)","(1,1,1,24)",14.02847737,16.37772486,29.83532876
"(1, 1, 0)","(1,1,1,24)",13.19343797,15.56667029,27.80821977
"(1, 1, 1)","(1,1,1,24)",13.27190769,15.63342635,28.01393815
"(1, 1, 2)","(1,1,1,24)",11.34002406,13.67303214,23.67560925
"(1, 2, 0)","(1,1,1,24)",84.43554057,96.00934115,179.0280545
"(1, 2, 1)","(1,1,1,24)",13.51982257,15.93670002,28.4910297
"(1, 2, 2)","(1,1,1,24)",13.52331155,15.93506312,28.52138521
"(2, 0, 0)","(1,1,1,24)",13.671321,16.12314129,28.79111889
"(2, 0, 1)","(1,1,1,24)",13.91626289,16.30285992,29.49276589
"(2, 0, 2)","(1,1,1,24)",13.63026898,16.09166132,28.67856369
"(2, 1, 0)","(1,1,1,24)",13.36912157,15.71566425,28.27027864
"(2, 1, 1)","(1,1,1,24)",13.13673633,15.51854699,27.66169781
"(2, 1, 2)","(1,1,1,24)",13.81105316,16.03424614,29.48006106
"(2, 2, 0)","(1,1,1,24)",89.87129793,102.5179523,189.9297899
"(2, 2, 1)","(1,1,1,24)",13.71185564,16.10113203,28.99376036
"(2, 2, 2)","(1,1,1,24)",13.48687,15.90874077,28.39984153
"(0, 2, 0)","(0, 0, 0, 24)",50.24750000023371,57.7594922937405,102.32984576908154
"(0, 2, 0)","(0, 0, 1, 24)",27.181821152730723,31.773786205463153,53.88735256705795
"(0, 2, 0)","(0, 1, 0, 24)",199.53541666660718,225.28352775810262,421.9548250819675
"(0, 2, 0)","(0, 1, 1, 24)",7.517117928088638,8.813693430534224,15.816267676230408
"(0, 2, 0)","(1, 0, 0, 24)",22.604825895513343,26.634089966157386,44.30894310756582
"(0, 2, 0)","(1, 0, 1, 24)",2.2426341919221358,3.0779012549228137,5.2931045373776815
"(0, 2, 0)","(1, 1, 0, 24)",107.34927704663801,121.1413911242858,226.69617515314866
"(0, 2, 0)","(1, 1, 1, 24)",3.912009382401537,4.963885230169554,8.525618124231622
"(0, 0, 0)","(0, 0, 0, 24)",43.8125,46.03541734360621,100.0
"(0, 0, 0)","(0, 0, 1, 24)",24.474495556078992,25.971562542310753,58.67628377242361
"(0, 0, 0)","(0, 1, 0, 24)",6.407916666666668,10.077985703171707,14.855643643382916
"(0, 0, 0)","(0, 1, 1, 24)",7.2438179322427105,10.195698935770304,15.284676103916626
"(0, 0, 0)","(1, 0, 0, 24)",9.672335844148446,12.975462786876742,21.442705455600734
"(0, 0, 0)","(1, 0, 1, 24)",9.113949724354356,12.153024943300023,19.199178054310487
"(0, 0, 0)","(1, 1, 0, 24)",7.206894905444344,10.102949266439445,17.670072768557286
"(0, 0, 0)","(1, 1, 1, 24)",8.471240144101543,11.612558993574766,18.255936915316603
"(0, 0, 1)","(0, 0, 0, 24)",43.188198893388865,45.831568063353586,97.2240946793636
"(0, 0, 1)","(0, 0, 1, 24)",25.954728030254785,27.588027102761867,60.8388953861979
"(0, 0, 1)","(0, 1, 0, 24)",6.863014063986925,10.83658409787533,16.879198100120387
"(0, 0, 1)","(0, 1, 1, 24)",8.890401941594332,11.549107160616355,19.73980584929309
"(0, 0, 1)","(1, 0, 0, 24)",11.629537827607558,14.511105910957085,26.786835387738368
"(0, 0, 1)","(1, 0, 1, 24)",11.399295944972543,13.733753690441402,25.212919246410266
"(0, 0, 1)","(1, 1, 0, 24)",7.6705521535769785,10.588202956541815,19.63112869871113
"(0, 0, 1)","(1, 1, 1, 24)",9.342950321591216,12.242451129681655,20.78720744649113
